id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm
49578456,Unique apartment in the heart of Nørrebro,7483012,Line,Nørrebro,55.69309,12.5524,Entire home/apt,1500.0,4,8,2024-06-28,0.21,1,302,0
49644383,Spacious and Colorful Apartment,41089778,Lasse,Østerbro,55.70901,12.55962,Entire home/apt,2500.0,3,7,2025-08-10,0.51,1,78,4
49680974,"Charming place close to city, airport and beach",300934294,Morten,Amager Øst,55.66525,12.61538,Entire home/apt,2700.0,1,12,2022-07-03,0.23,1,270,0
49702068,Newly renovated apartment in the heart of Østerbro,53609159,Svend Emil,Østerbro,55.70494,12.57977,Entire home/apt,900.0,5,12,2025-08-16,0.4,1,33,4
49729787,Amazing water view family apartment next to metro,78468958,Misho,Vesterbro-Kongens Enghave,55.64648,12.548,Entire home/apt,1419.0,7,11,2025-07-31,0.21,1,10,3
49738832,Centralt Frederiksberg lejlighed  for 2 personer,44658577,Christine,Frederiksberg,55.67346,12.54779,Entire home/apt,1260.0,7,52,2025-09-29,1.36,1,112,19
49767008,Best Balcony in Town · Central Location,27077621,Ulrik,Frederiksberg,55.69355,12.53395,Entire home/apt,1315.0,4,31,2025-08-31,0.6,1,99,4
49770807,Privat værelse på Nørrebro,5711316,Marcelo,Nørrebro,55.69967,12.54095,Private room,585.0,1,55,2025-06-21,1.04,1,0,16
49782215,"Cozy, homely apartment in the center of Copenhagen",75919083,Sara Cirkeline Lyngsø,Nørrebro,55.70108,12.55167,Entire home/apt,900.0,5,16,2025-08-16,0.41,1,19,3
49782914,75 meters from the lakes of central Copenhagen,267552313,Johan,Indre By,55.68948,12.57182,Entire home/apt,1006.0,1,7,2023-06-19,0.14,1,351,0
49802890,120m2 Lakeside apartment,3812639,Maria,Nørrebro,55.68582,12.55976,Entire home/apt,1800.0,2,5,2025-08-31,0.1,1,44,1
49805936,Perfect and wonderful spot,38736211,Morten,Nørrebro,55.69325,12.55808,Entire home/apt,488.0,3,20,2025-08-07,0.41,2,8,3
49821798,Spacious apartment in Stefansgade neighborhood,113575143,Signe Victoria,Nørrebro,55.6947434593456,12.545517368814249,Entire home/apt,1125.0,3,10,2025-07-23,0.2,1,10,2
